decision_mode,cell_id,condition_id,capacity_Ah,soh_estimate,resistance_growth,predicted_rul_cycles,rul_lower_cycles,lifetime_interval_width,event_observed,conditional_duration,decision_rul_cycles,actual_interval_width,eligible,grade,gate_failures
POINT,T25_C0p5_D100_0,T25_C0p5_D100,1.601993,0.8633711827859633,0.31730180555416165,530.1301993506696,338.57212951115133,0.0,False,250,530.1301993506696,491.49627768278566,True,A,NONE
POINT,T25_C0p5_D100_1,T25_C0p5_D100,1.770245,0.8812241845137574,0.33511850991525804,966.1083189913027,552.8453656628636,0.0,False,250,966.1083189913027,1135.448218755796,True,A,NONE
POINT,T25_C0p5_D100_2,T25_C0p5_D100,1.654825,0.8625549285371946,0.3099223068300416,588.9710084919453,178.70636000681728,0.0,False,250,588.9710084919453,1762.3932675094402,True,A,NONE
POINT,T25_C0p5_D100_3,T25_C0p5_D100,1.780645,0.868465397118032,0.30907688351761387,652.6287638846203,330.9337904398505,0.0,False,250,652.6287638846203,956.1040272561404,True,A,NONE
POINT,T25_C0p5_D50_0,T25_C0p5_D50,1.819072,0.9286873913851443,0.16498041433628674,49787.53847832264,24297.044646267783,0.0,False,250,49787.53847832264,77723.55184266448,True,A,NONE
POINT,T25_C0p5_D50_1,T25_C0p5_D50,1.909827,0.9377696638896021,0.1833234659383891,210746.5851834619,134595.086679017,0.0,False,250,210746.5851834619,195388.156115047,True,A,NONE
POINT,T25_C0p5_D50_2,T25_C0p5_D50,1.737167,0.9289129100867195,0.1610146811439057,67876.39092501617,38841.55370900378,0.0,False,250,67876.39092501617,79773.79519084288,True,A,NONE
POINT,T25_C0p5_D50_3,T25_C0p5_D50,2.015329,0.9237469401580747,0.17110974610974594,63261.86990402448,19194.99998263099,0.0,False,250,63261.86990402448,189300.13871885758,True,A,NONE
POINT,T25_C0p5_D80_0,T25_C0p5_D80,1.764831,0.8985503187995236,0.2590251265204653,5586.385190876745,2832.7339038349987,0.0,False,250,5586.385190876745,8184.079026810388,True,A,NONE
POINT,T25_C0p5_D80_1,T25_C0p5_D80,1.58755,0.8835587009563839,0.23404593657135475,3112.3293421411636,1518.862094634745,0.0,False,250,3112.3293421411636,4858.671434031183,True,A,NONE
POINT,T25_C0p5_D80_2,T25_C0p5_D80,1.802573,0.894472853041953,0.2523605407511764,6018.955044586793,3844.056477774139,0.0,False,250,6018.955044586793,5580.315936684803,True,A,NONE
POINT,T25_C0p5_D80_3,T25_C0p5_D80,1.737764,0.8925802282038698,0.2710201930490628,4438.880970068659,2540.1031383248305,0.0,False,250,4438.880970068659,5216.930018774459,True,A,NONE
POINT,T25_C1_D100_0,T25_C1_D100,1.76058,0.8505605690694575,0.36217296377160224,253.46394543282236,76.90636453778137,0.0,True,225,253.46394543282236,758.4467563708524,True,A,NONE
POINT,T25_C1_D100_1,T25_C1_D100,1.573438,0.8592554082388556,0.3486659027664103,391.7278232970816,198.6366224694531,0.0,False,250,391.7278232970816,573.8829946956428,True,A,NONE
POINT,T25_C1_D100_2,T25_C1_D100,1.777054,0.8539885025019371,0.30764491505069813,328.04972791287827,160.09304996601904,0.0,True,221,328.04972791287827,512.1199162218068,True,A,NONE
POINT,T25_C1_D100_3,T25_C1_D100,1.809101,0.8590339422921915,0.31609922978053095,354.8912608824697,226.65430131890022,0.0,False,250,354.8912608824697,329.0281027557611,True,A,NONE
POINT,T25_C1_D50_0,T25_C1_D50,1.883969,0.9242867200282591,0.17240297758447642,49093.87370445426,28093.454974368975,0.0,False,250,49093.87370445426,57699.06992183393,True,A,NONE
POINT,T25_C1_D50_1,T25_C1_D50,1.765329,0.9321807776846357,0.20263849184887595,76317.50826569919,23156.358989340337,0.0,False,250,76317.50826569919,228366.86495818166,True,A,NONE
POINT,T25_C1_D50_2,T25_C1_D50,1.877809,0.9248033300246172,0.17834585884378407,26913.87898212697,13647.440137298865,0.0,False,250,26913.87898212697,39428.951814396656,True,A,NONE
POINT,T25_C1_D50_3,T25_C1_D50,1.887388,0.9317678375631109,0.1845701731861109,50174.36339807029,24485.82084675196,0.0,False,250,50174.36339807029,78327.42597709536,True,A,NONE
POINT,T25_C2_D100_0,T25_C2_D100,1.598244,0.8334032075389053,0.30986808343647176,120.76731110403671,77.12906328655049,0.0,True,97,120.76731110403671,111.96623762633416,True,B,NONE
POINT,T25_C2_D100_1,T25_C2_D100,1.777275,0.8435337503678321,0.3533998640769753,146.09170815895092,83.59944969915394,0.0,True,155,146.09170815895092,171.69872833438023,True,B,NONE
POINT,T25_C2_D100_2,T25_C2_D100,1.60538,0.8572031942349777,0.38287359942402,243.33835566730912,73.83404473964669,0.0,True,245,243.33835566730912,728.1476907547101,True,A,NONE
POINT,T25_C2_D100_3,T25_C2_D100,1.720428,0.854503990708091,0.3665065550963207,276.3845867400795,140.14858671662307,0.0,True,224,276.3845867400795,404.90464269581514,True,A,NONE
POINT,T25_C2_D50_0,T25_C2_D50,1.809274,0.9197395838363853,0.20096216487095964,26729.462148032013,13044.36722583154,0.0,False,250,26729.462148032013,41727.4844365653,True,A,NONE
POINT,T25_C2_D50_1,T25_C2_D50,1.775971,0.9228488851845001,0.20575065684787042,67384.8349007378,43035.89396915072,0.0,False,250,67384.8349007378,62474.078191636705,True,A,NONE
POINT,T25_C2_D50_2,T25_C2_D50,1.91077,0.9102194555079669,0.20497279564730375,17437.449138095206,9978.397613885587,0.0,False,250,17437.449138095206,20493.893049349917,True,A,NONE
POINT,T25_C2_D50_3,T25_C2_D50,1.764135,0.9136238389928534,0.21971516653112166,24708.95467328034,7497.223607901505,0.0,False,250,24708.95467328034,73937.24773463223,True,A,NONE
POINT,T25_C2_D80_0,T25_C2_D80,1.785448,0.8772363915079275,0.31176901628267695,1169.962715602176,593.262536948156,0.0,False,250,1169.962715602176,1714.0005559493416,True,A,NONE
POINT,T25_C2_D80_1,T25_C2_D80,1.675252,0.886090263941128,0.2955017684486596,2986.4013489594636,1457.4073980165772,0.0,False,250,2986.4013489594636,4662.0846734553015,True,A,NONE
POINT,T25_C2_D80_2,T25_C2_D80,1.631496,0.8896278085847794,0.27246745583951015,2980.0811255506455,1903.253981813357,0.0,False,250,2980.0811255506455,2762.9038719071386,True,A,NONE
POINT,T25_C2_D80_3,T25_C2_D80,1.576392,0.8697680680280816,0.2824466094064564,1335.4862215019916,764.2180011811193,0.0,False,250,1335.4862215019916,1569.5708458038812,True,A,NONE
POINT,T35_C0p5_D100_0,T35_C0p5_D100,1.717266,0.8358601978739731,0.3565741255923718,99.60176071933822,30.2212975711628,0.0,True,129,99.60176071933822,298.04093918529156,True,B,NONE
POINT,T35_C0p5_D100_1,T35_C0p5_D100,1.627378,0.849793762698907,0.38833903185171836,196.68886426919434,99.73662668877002,0.0,True,144,196.68886426919434,288.1500565878513,True,B,NONE
POINT,T35_C0p5_D100_2,T35_C0p5_D100,1.68529,0.8297104365765982,0.4120598027627649,60.383717992310224,29.468134734268833,0.0,True,73,60.383717992310224,94.26529567979301,True,B,NONE
POINT,T35_C0p5_D100_3,T35_C0p5_D100,1.594209,0.8516558233681563,0.3788362386447335,231.84019554490723,148.066699101589,0.0,True,198,231.84019554490723,214.94454242965418,True,A,NONE
POINT,T35_C0p5_D50_0,T35_C0p5_D50,1.8935,0.9097948168842734,0.23178958970753127,18226.398530123286,10429.865639314303,0.0,False,250,18226.398530123286,21421.129844911367,True,A,NONE
POINT,T35_C0p5_D50_1,T35_C0p5_D50,1.823035,0.905752161056833,0.22359923529803405,17805.76402470437,5402.648398845211,0.0,False,250,17805.76402470437,53280.65080885879,True,A,NONE
POINT,T35_C0p5_D50_2,T35_C0p5_D50,1.843364,0.9030162035642256,0.1966576685712107,7993.452046042972,4053.304927215636,0.0,False,250,7993.452046042972,11710.442621943119,True,A,NONE
POINT,T35_C0p5_D50_3,T35_C0p5_D50,1.872166,0.9172985600865476,0.20483584258959175,22257.070394048154,10861.77484542176,0.0,False,250,22257.070394048154,34745.613410689664,True,A,NONE
POINT,T35_C0p5_D80_0,T35_C0p5_D80,1.64992,0.870191923541758,0.2840495639073086,1399.9970072269361,894.1199136111123,0.0,False,250,1399.9970072269361,1297.970420590811,True,A,NONE
POINT,T35_C0p5_D80_1,T35_C0p5_D80,1.6709,0.8590237595206454,0.3200028148907721,629.8488513522658,360.4244075878957,0.0,False,250,629.8488513522658,740.2490407079836,True,A,NONE
POINT,T35_C0p5_D80_2,T35_C0p5_D80,1.825225,0.8763645294250533,0.2906670581003845,1499.5648431756229,454.999942024777,0.0,False,250,1499.5648431756229,4487.186883058111,True,A,NONE
POINT,T35_C0p5_D80_3,T35_C0p5_D80,1.672728,0.8563187969247372,0.31521908694654743,502.91713489759314,255.01829361329555,0.0,False,250,502.91713489759314,736.7758282512915,True,A,NONE
POINT,T35_C1_D100_0,T35_C1_D100,1.62657,0.8260663109968995,0.4153593747119655,51.03278557398741,24.904743383817863,0.0,True,40,51.03278557398741,79.66751272434104,True,B,NONE
POINT,T35_C1_D100_1,T35_C1_D100,1.629006,0.817218002508835,0.41841952564009577,26.231021647849914,16.75266353330497,0.0,True,38,26.231021647849914,24.319402130884313,False,REJECT,RUL_POINT_BELOW_MIN
POINT,T35_C1_D100_2,T35_C1_D100,1.516273,0.8391719815725331,0.4056969633617311,93.0832501563193,53.265914864999125,0.0,True,97,93.0832501563193,109.39892402162869,True,B,NONE
